"ID_reference","Reference"
18,"Domiguez, E. (2012). Flora nativa: Torres del Paine (1.a ed.). Ocho libros. https://fundacionphilippi.cl/wp-content/uploads/2020/07/Flora-Nativa-Torres-del-Paine.pdf"
19,"Gandullo, R., Siffredi, G., & Velasco, V. (2016). Guia para el reconocimiento de especies del norte neuquino. INTA. https://inta.gob.ar/sites/default/files/guia_reconocimiento_nnq_final_0.pdf"
20,"Teillier, S., Marticorena, A., & Niemeyer, H. (2011). Flora andina de Santiago, Guía para la identificación de las especies de las cuencas del Maipo y del Mapocho."
21,"Niemeyer, H., Bustamante, R., Simonetti, J., Teillier, S., Fuentes-Contreras, E., & Mella, J. (2002). HISTORIA NATURAL DE LA RESERVA NACIONAL RÍO CLARILLO: UN ESPACIO PARA APRENDER ECOLOGÍA. Impresos Socías. https://www.researchgate.net/publication/266579995_HISTORIA_NATURAL_DE_LA_RESERVA_NACIONAL_RIO_CLARILLO_UN_ESPACIO_PARA_APRENDER_ECOLOGIA"
22,"Mersey, L., Reinoso, F., & Riquelme, F. (2015). Experiencias en propagacion y cultivo de especies de plantas andinas de ambientes zonales y azonales de la region de antofagasta (II), Chile. Chloris Chilensis Año 18. https://www.chlorischile.cl/sapunta-mersey/sapunta-final%20.htm"
23,"Teillier, S., Hoffmann, A., Pauchard, L., & Saavedra, F. (1994). Flora del Parque Nacional el Morado (Región Metropolitana, Chile). Gayana. Botánica, 51(1), 13-47. https://bibliotecadigital.infor.cl/handle/20.500.12220/11458"
24,"Ulibarri, E. (1986). LAS ESPECIES DE ADESMIA DE LA SERIE MICROPHYLLAE (LEGUMINOSAEPAPILIONOIDEAE). Darwiniana, 315-388. https://www-jstor-org.uchile.idm.oclc.org/stable/pdf/23217341.pdf?refreqid=excelsior%3A21cef3f084b93de30480fb1047ac7504"
25,"Ulibarri, E. A., & Burkart, A. (2000). SINOPSIS DE LAS ESPECIES DE ADESMIA (LEGUMINOSAE, ADESMIEAE) DE LA ARGENTINA. Darwiniana, 38(1-2), 56-126. https://www.redalyc.org/articulo.oa?id=66938208"
26,"Teillier, S. (1999a). Catálogo de las plantas vasculares del área altoandina de salar de Coposa-cordón Collaguasi. Chile, Región de Tarapacá (I). Chloris Chilensis, 2(1), 69-95. https://www.chlorischile.cl/pdf-s/Chloris%202-1.pdf"
27,"Teillier, S., Villaseñor, R., Marticorena, A., Novoa, P., & Niemeyer, H. (2018). Flora del Litoral de la Región de Valparaíso. Los Molles-Santo Domingo. Guía para la identificación de las especies"
28,"Gay, C. (2009b). Historia fisica y politica de Chile, botanica II. Cámara Chilena de la Construcción: Pontificia Universidad Católica de Chile: Dirección de Bibliotecas, archivos y Museos. http://www.bibliotecanacionaldigital.gob.cl/colecciones/BND/00/SM/SM0000571_0002.pdf"
30,"Flores-Toro, L., & Amigo, J. (2014). Nueva localidad en Chile para Adesmia resinosa (Phil. Ex Reiche) Martic. (Fabaceae). Gayana. Botánica, 71(2), Art. 2. https://doi.org/10.4067/S0717-66432014000200016"
32,"Faúndez, A., Faundez, L., & Flores, R. (2014). MONITOREO DE CAMBIOS, CORRECCIÓN CARTOGRÁFICA, Y ACTUALIZACIÓN DEL CATASTRO DE LOS RECURSOS VEGETACIONALES NATIVOS DE LA REGIÓN DE ARICA Y PARINACOTA. Biota Gestión y Consultorías Ambientales Ltda. https://www.researchgate.net/publication/350740092_FICHAS_DE_RECONOCIMIENTO_DE_LAS_ESPECIES_DOMINANTES_DE_LA_REGION_DE_ARICA_Y_PARINACOTA_MONITOREO_DE_CAMBIOS_CORRECCION_CARTOGRAFICA_Y_ACTUALIZACION_DEL_CATASTRO_DE_LOS_RECURSOS_VEGETACIONALES_NATIVOS_"
33,"Linares, E. (2000). ETNOBOTANICA  DEL TRANSECTO YURA-CHIVAY, DEPARTAMENTO DE AREQUIPA, PERU. Chloris chilensis revista chilena de flora y vegetación, 3(1). http://www.chlorischile.cl/Linares/apend4.htm"
34,"Teillier, S., Lorenz, M., & Macaya, J. (2016). HALLAZGO DE ADESMIA VISCOSA GILLIES EX HOOK. ET ARN. , UNA ESPECIE POCO FRECUENTE DEL VALLE DEL TINGUIRIRICA, PROVINCIA DE COLCHAGUA, REGIÓN DE O’HIGGINS, CHILE. Chloris Chilensis, 19(1). https://www.chlorischile.cl/adesmia-viscosa%20web/adesmia%20viscosa-web.htm"
35,"Cortez-Echeverria, J. (2016). Guias de campo de Fray Jorge: Vol. FLORA: BOSQUE Y MATORRAL SEMIARIDO. http://www.difuciencia.cl/wp-content/uploads/2018/08/guia-de-flora.pdf"
36,"Bravo, P., Baeza, G., Gallardo, G., & Contreras, D. (2011). Biodiversidad de altos de achibueno. https://issuu.com/fernandoruz/docs/final_achi"
37,"Donoso, P. (2013). Necesidades, opciones y futuro del manejo multietáneo en el centro-sur de Chile. En Silvicultura en Bosques Nativos. Avances en la investigación en Chile, Argentina y Nueva Zelandia (Vol. 1, p. 228). https://www.forestalmaderero.com/wp-content/uploads/2017/11/Donoso_Promis_Eds_SilviculturaBosquesNativos_Vol_1_2013.pdf"
38,"Marticorena, C., & Rodriguez, R. (2011). Flora de Chile. MISODENDRACEAE-ZYGOPHYLLACEAE (Vol. 3). Universidad de Concepción."
39,"Cordero, S., Abello, L., & Galvez, F. (2017). Plantas silvestres comestibles y medicinales de Chile y otras partes del mundo. Guía de Campo. Corporación Chilena de la Madera. https://colegiodearqueologos.cl/wp-content/uploads/2017/11/guia-de-campo_plantas-silvestres-comestibles-y-medicinales-de-chile-y-otras-partes-del-mundo.pdf"
40,"Pastoriza, A., Martinez, L., Budeguer, C., Nasif, A., & Mansilla, B. (2015). Estudios genéticos en Aloysia gratissima (Gill. Et Hook) Tronc., Chenopodium mandonii (S. Watson) Aellen y Clinopodium gilliesii (Benth.) Kuntze. Rev. Agron. Noroeste Argent, 35(2), 33-38. https://www.researchgate.net/publication/317531786_Estudios_geneticos_en_Aloysia_gratissima_Gill_et_Hook_Tronc_Chenopodium_mandonii_S_Watson_Aellen_y_Clinopodium_gilliesii_Benth_Kuntze/link/5e72144d92851c93e0aa7fdd/download"
41,"Marin, J. (2019). “COMPOSICIÓN QUÍMICA Y ACTIVIDAD ANTIOXIDANTE DEL ACEITE ESENCIAL DE Ambrosia arborescens Miller (Marku)”. [UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO. FACULTAD DE CIENCIAS, ESCUELA PROFESIONAL DE QUÍMICA]. http://repositorio.unsaac.edu.pe/bitstream/handle/20.500.12918/4473/253T20190498_TC.pdf?sequence=1&isAllowed=y"
42,"Garcia, N., & Ormazabal, C. (2008). Arboles Nativos de Chile. ENERSIS. S.A. https://bibliotecadigital.ciren.cl/bitstream/handle/20.500.13082/26302/arboles-nativos-enersis.pdf?sequence=1&isAllowed=y"
43,"Donoso, C. (2006). Las especies arbóreas de los bosques templados de Chile y Argentina. Autoecologia. Chagual. Jardin Botanico"
44,"Marticorena, C., & Rodriguez, R. (2005). Flora de Chile. PLUMBAGINACEAE-MALVACEAE (Vol. 2). Universidad de Concepción."
45,"Orrego, F. (2013). Flores Silvestres de Chile. Flores del Norte Grande. Quad/Graphics S.A. http://www.biouls.cl/mlc/LibroFloresdelNorteGrande.pdf"
46,"Hechenleitner, P., Gardner, M., Thomas, P., Echeverría, C., Escobar, B., Brownless, P., & Martinez, C. (2005). Plantas amenazadas del centro-sur de Chile: Distribución, conservación y propagación. Universidad Austral de Chile. http://dspace.utalca.cl/bitstream/1950/10294/1/Hechenleitner%20%20V..pdf"
47,"Alvarado Ojeda, A. J., Baldini, A., Guajardo Becchi, B., & Giovanni, F. (2013). Arboles urbanos de Chile: Programa de arborizacion: Un chileno, un arbol: Guia de reconocimiento. Corporacion Nacional Forestal, Gerencia Forestal, Departamento de Arborizacion. https://www.conaf.cl/cms/editorweb/institucional/Arboles_urbanos_de_Chile-2da_edicion.pdf"
48,"Lopez, H., Jimenez, M., & Reyes, F. (1986). Algunos antecedentes sobre cosecha, procesamiento y viverización de varias especies nativas. Parte I y II. Chile Forestal. https://bibliotecadigital.infor.cl/handle/20.500.12220/5815"
49,"Alvarado, A., & Levet, O. (2014). Manual de protocolos de producción de especies utilizadas por el programa de arborización (1.a ed.). Editorial e Imprenta Maval Ltda. https://www.conaf.cl/cms/editorweb/institucional/Manual_Protocolos_de_Produccion.pdf"
50,"Benoit, I. (1989). Libro rojo de la Flora terrestre de Chile. CONAF. https://www.grn.cl/Libro%20Rojo%20de%20la%20Flora%20Terrestre%20de%20Chile%20Espanol.pdf"
51,"Donoso, C., Premoli, A., Gallo, L., & Ipinza, R. (2004). Variación Intraespecífica en las especies arbóreas de los bosques templados de Chile y Argentina. Universitaria. Bosque Nativo"
52,"Marticorena, C., & Rodriguez, R. (1995). Flora de Chile. PTERIDOPHYTA-GYMNOSPERMAE (Vol. 1). Universidad de Concepción."
53,"Massaro, C. (2010). Características generales del maqui (Aristotelia chilensis). Gobierno de Chile. Oficina de Estudios y Politicas Agrarias. https://www.odepa.gob.cl/odepaweb/publicaciones/doc/2442.pdf"
54,"Penneckamp, D. (2017). Sinopsis del género Corynabutilon (Malvaceae) en Chile [Universidad Austral de Chile. Facultad de Ciencias Forestales y Recursos Naturales]. http://cybertesis.uach.cl/tesis/uach/2017/fifp412s/doc/fifp412s.pdf"
55,"Rosas, M. (1989). El genero Atriplex (Chenopodiaceae) en Chile. Gayana Botánica, 46(1-2), 3-82. https://www.academia.edu/1633718/El_genero_Atriplex_Chenopodiaceae_en_Chile_The_genus_Atriplex_Chenopodiaceae_in_Chile_"
56,"Aguilar, R. (2013). Flora de la Reserva Naional La Chimba Antofagasta (CULTAM). Ministerio del Medio Ambiente. https://desiertopatrimonial.cl/doc/library/guia-de-flora-de-la-reserva-nacional-la-chimba-DOC-CULTAM-12-20-16-hyhKJP.pdf"
57,"Villagra, P., Passera, C., Greco, S., Sartor, C., Aranibar, J., Meglioli, P., Alvarez, J., & Allegrett, L. (2017). Uso de plantas nativas en la restauración y recuperación productiva de ambientes salinos de las zonas áridas de la región del Monte, Argentina. En Ambientes salinos y alcalinos de la Argentina. Universidad Católica de Córdoba-Orientación Gráfica Editora. https://www.researchgate.net/publication/329844183_Uso_de_plantas_nativas_en_la_restauracion_y_recuperacion_productiva_de_ambientes_salinos_de_las_zonas_aridas_de_la_region_del_Monte_Argentina"
58,"Iamonico, D. (2015). Augustea (Polycarpaeae, Caryophyllaceae), a new genus from South America. Phytotaxa, 236(1). https://doi.org/10.11646/phytotaxa.236.1.6"
59,"Gutierrez, B., Gacitua, S., Perret, S., Sandoval, A., & Curimil, M. (2013). Propagación de especies forestales nativas de las zonas áridas y semiáridas de Chile (1.a ed.). INFOR. https://bibliotecadigital.infor.cl/handle/20.500.12220/20364"
60,"Marticorena, C., & Rodriguez, R. (2019). Flora de Chile. DROSERACEAE-QUILLAJACEAE (Vol. 3). Universidad de Concepción."
61,"Montenegro, P. (2018). EVOLUCIÓN DEL NICHO CLIMÁTICO Y DE RASGOS FUNCIONALES EN EL GÉNERO NEOTROPICAL DISYUNTO AZARA RUIZ & PAV [Universidad de Chile].http://repositorio.conicyt.cl/bitstream/handle/10533/241933/Tesis%20DOC%20EBE%202019_Paz%20Montenegro.pdf?sequence=3"
62,"Muñoz, A., Arellano, E., & Bonacic, C. (2016). Manual de conservación de biodiversidad en predios agrícolas de Chile Central. Facultad de Agronomía e Ingeniería Forestal, Pontificia Universidad Católica de Chile. https://www.researchgate.net/publication/301687918_Manual_de_Conservacion_de_Biodiversidad_en_Predios_Agricolas_de_Chile_Central#:~:text=Este%20manual%20es%20uno%20de,ecosistema%20mediterr%C3%A1neo%20de%20Chile%20central"
63,"Barrera, E., & Meza, I. (1997). CARACTERÍSTICAS DE LA EPIDERMIS FOLIAR DE ÁRBOLES CHILENOS, III. SUBCLASE DILLENIIDAE. Bol. Mus. Nac. Hist. Nat. Chile, 46, 33-43."
64,"Belov, M. (En Línea). LISTA DE PRECIOS PARA LAS SEMILLAS, CLASIFICADA SEGUN EL NOMBRE COMUN. ChileFlora. http://www.chileflora.com/Florachilena/FloraEnglish/EPlantdbase.htm"
65,"Armesto, J., Diaz-Forestier, J., Tejo, C., & Celis-Diez, J. (2021). Botánica Ecológica. Guia de la ecología de la flora leñosa de Chiloé (2.a ed.). Corporación Instituto de Ecologia y Biodiversidad."
66,"Villaseñor, R., & Ramirez, P. (2016). Guía para el reconocimiento de especies del Santuario de la Naturaleza Acantilados Federico Santa María. Universidad de Playa Ancha. https://repositorioambiental.mma.gob.cl/wp-content/uploads/2019/10/Gui%CC%81a-de-campo-plantas-vasculares.pdf"
67,"Hellwig, F. (1990). Die gattung Baccharis l. (Compositae—Asteraceae) in Chile. Mitt. Bot. Staatssammml. Munchen, 456. https://www.zobodat.at/pdf/Mitt-Bot-StaatsS-Muenchen_29_0001-0456.pdf"
68,"Giuliano, D., & Plos, A. (2014). Flora Argentina, Baccharis (Vol. 7). Instituto botanico darwinion. https://www.researchgate.net/publication/263765073_Flora_Argentina_Baccharis"
69,"Belov, M. (En Línea). LISTA DE PRECIOS PARA LAS SEMILLAS, CLASIFICADA SEGUN EL NOMBRE COMUN. ChileFlora. http://www.chileflora.com/Florachilena/FloraEnglish/EPlantdbase.htm"
70,"Castillo, J., & Moreno, G. (2002). Semillas Forestales del Bosque Nativo Chileno (1.a ed.). Editorial Universitaria. https://bibliotecadigital.infor.cl/handle/20.500.12220/21578"
71,"Marticorena, C., & Rodriguez, R. (2001). Flora de Chile. WINTERACEAE-RANUNCULACEAE (Vol. 2). Universidad de Concepción."
72,"Marticorena, A., Alarcon, D., Abello, L., & Atala, C. (2010). Plantas trepadoras, epífitas y parásitas nativas de Chile. Guía de Campo (Ed. Corporación Chilena de la Madera). https://bibliotecadigital.ciren.cl/bitstream/handle/20.500.13082/31769/Marticorena_Alarcon_Abello_Atala.2010.Plantas_Trepadoras_Epifitas_Parasitas_Nativas_de_Chile%20%281%29.pdf?sequence=1&isAllowed=y"
73,"Marticorena, C., & Rodriguez, R. (2003). Flora de Chile. BERBERIDACEAE-BETULACEAE (Vol. 2). Universidad de Concepción."
74,"Landrum, L. (1999). Revision of Berberis (Berberidaceae) in Chile and Adjacent Southern Argentina. Annals of the Missouri Botanical Garden, 86, 793-834. https://doi.org/10.2307/2666170"
75,"Huaquin, E. N., Manzano, E., Musalem, M., Seeman, P., & Schiappacasse, F. (2008). Flora patagónica de la Región de Aysén Estudio, multiplicación y manejo de especies nativas con aptitud ornamental. 38. https://bibliotecadigital.fia.cl/bitstream/handle/20.500.11944/2154/FIA-PI-C-2001-1-A-086_MA.pdf?sequence=9&isAllowed=y"
76,"Arancio, G., Muñoz, M., & Squeo, F. A. (2001). Descripción de Algunas Especies con Problemas de Conservación en la IV Región de Coquimbo, Chile. 63-103."
77,"Muñoz, A., & Vásquez, D. (2017). Manual de Campo BIODIVERSIDAD, RECURSOS NATURALES Y AGRICULTURA Región de Coquimbo (Facultad de Agronomía e Ingeniería Forestal, Pontificia Universidad Católica de Chile). https://agronomia.uc.cl/proyectos/235-manual-de-biodiversidad-coquimbo/file"
78,"Garay, R., Squeo, F. A., loayza, A., Carvajal, D., Rojas, L., Leon, P., Sandoval, A., Arancio, G., Tala, C., Rojas, M., Perez, P., Accini, C., Cuevas, R., Valenzuela, Y., & Garcia-guzman, P. (2008). El Lucumillo: Un Patrimonio de la Región de Coquimbo. SEREMI del Medio Ambiente Región de Coquimbo. https://fundacionphilippi.cl/wp-content/uploads/2018/10/manual-lucumillo_8-05.pdf"
81,"Martinez, E. (2013). Flora de mendoza. Multequina, 22(5). https://www.mendoza.conicet.gov.ar/portal//multequina/indice/pdf/22/07.pdf"
82,"Faundez, L., Faundez, A., Flores, R., & Bobadilla, P. (2017). Guía de Reconocimiento Especies Dominantes de la Vegetación Región de Coquimbo. CONAF-BIOTA- GEF/SIMEF. https://www.researchgate.net/publication/336141221_Guia_de_Reconocimiento_Especies_Dominantes_de_la_Vegetacion_Region_de_Coquimbo_CONAF-BIOTA-GEFSIMEF"
83,"Bonifacino, J. (2009). Taxonomic Revision of the Chiliotrichum Group sensu stricto (Compositae: Astereae) (Vol. 92). Smithsonian Institution Scholarly Press. https://www.researchgate.net/publication/276186882_Taxonomic_Revision_of_the_Chiliotrichum_Group_sensu_stricto_Compositae_Astereae"
84,"Acevedo, R. (1949). Contribucion a la flora cordillerana del norte de Chile. Boletín del Museo Nacional de Historia Natural de Chile. https://publicaciones.mnhn.gob.cl/668/articles-63925_archivo_01.pdf"
85,"Carvajal, F., Huanca, A., González-Teuber, M., Urzúa, A., & Echeverría, J. (2017). Uses of hazardous medicinal plants: Composition of the essential oil of Clinopodium gilliesii (Benth.) Kuntze (Lamiaceae), collected in Chile. Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas 16 (5), 486-492. https://www.redalyc.org/pdf/856/85652864004.pdf"
86,"Bulacio, E., & Szumil, C. (2018). Universo Tucumano 10 (2018): Muña muña (Clinopodium gilliesii). Fundación Miguel Lillo, 10, 7."
87,"Cerda, E. (2020). PINTA Y CALCA IV FLORA CHILENA de Claudio Gay. Ministerio de las Culturas, las Artes y el Patrimonio. Gobierno de Chile. https://www.patrimoniocultural.gob.cl/sites/www.patrimoniocultural.gob.cl/files/images/articles-94956_archivo_04.pdf"
88,"Hechem, V., Ezcurra, C., & Zuloaga, F. (2012a). Estudio sistemático del género sudamericano Diplolepis: Apocynaceae. Darwiniana, 50, 296-317. https://doi.org/10.2307/41825713"
90,"Barrera, E., & Meza, I. (1988). CARACTERISTICAS DE LA EPIDERMIS FOLIAR DE LAS ESPECIES DE PROTEACEAS CHILENAS. Boletín del Museo Nacional de Historia Natural de Chile, 57-69."
91,"Zavala, L. (2016). Gnetidae-Ephedraceae-Ephedra. En Flora Argentina: Flora vascular de la República Argentina (1.a ed., Vol. 2, pp. 390-401). SIGMA. https://www.researchgate.net/publication/326029142_Gnetidae-Ephedraceae-Ephedra"
92,"Zollner, O. (1979). UNA EPHEDRA NUEVA PARA LA FLORA CHILENA. EPHEDRA TRIFURCATA ZOLLNER. Anales del Museo de Historia Natural, 8, 81-84. https://bibliotecadigital.ciren.cl/bitstream/handle/20.500.13082/17763/U1332.pdf?sequence=3&isAllowed=y"
93,"Teillier, S. (2010). Una adición para la flora de Chile: Eremocharis confinis I.M.Johnst. (Apiaceae). Gayana. Botánica, 67(2), Art. 2. https://doi.org/10.4067/S0717-66432010000200011"
94,"Kausel, E. (1953). Revision del genero «Escallonia» en Chile. Darwiniana, 10(2), 169-255. https://chlorischile.cl/EKausel/1953%20Darwiniana(1)%20-Escallonia.pdf"
95,"Gay, C. (Ed.). (2010a). Historia fisica y politica de Chile, botanica III. Cámara Chilena de la Construcción: Pontificia Universidad Católica de Chile: Dirección de Bibliotecas, archivos y Museos. http://www.bibliotecanacionaldigital.gob.cl/colecciones/BND/00/SM/SM0000571_0003.pdf"
96,"Sede, S., & Denham, S. (2018). Taxonomic Revision of Escallonia (Escalloniaceae) in Argentina. Systematic Botany, 431(1), 364-369. https://doi.org/10.1600/036364418X696932"
97,"Donoso, C. (2006). Las especies arbóreas de los bosques templados de Chile y Argentina. Autoecologia. Chagual. Jardin Botanico"
105,"Consejo Nacional de Investigaciones Científicas y Técnicas (Argentina), & Programa PROFLORA (Argentina). (1994). FLORA FANEROGAMICA ARGENTINA. http://www.floraargentina.edu.ar/wp-content/uploads/2019/05/66-ASTERACEAE,parte15.pdf"
106,"Morales, R. (2018). Las labiadas (Lamiaceae) de Chile. Anales del Jardín Botánico de Madrid, 75(1), 74. https://doi.org/10.3989/ajbm.2480"
107,"Teillier, S., & Escobar, F. (2013). REVISIÓN DEL GÉNERO GAULTHERIA L. (ERICACEAE) EN CHILE. Gayana. Botánica, 70(1), Art. 1. https://doi.org/10.4067/S0717-66432013000100014"
108,"Teillier, S., Rodríguez, R., & Fritsch, P. (2016). Novedades nomenclaturales para Gaultheria (Ericaceae) en Chile. Gayana. Botánica, 73(1), Art. 1. https://doi.org/10.4067/S0717-66432016000100008"
109,"Teillier, S., Amarilla, L., & Anton, A. (2019). CONTRIBUCIÓN A LA FLORA VASCULAR DE LA REPÚBLICA ARGENTINA: FAMILIA ERICACEAE. Darwiniana, nueva serie, 7(1), Art. 1. https://doi.org/10.14522/darwiniana.2019.71.845"
110,"Zavala, L. (2016). Gnetidae-Ephedraceae-Ephedra. En Flora Argentina: Flora vascular de la República Argentina (1.a ed., Vol. 2, pp. 390-401). SIGMA. https://www.researchgate.net/publication/326029142_Gnetidae-Ephedraceae-Ephedra"
111,"Solbrig, O. (1966). THE SOUTH AMERICAN SPECIES OF GUTIERREZIA. Contributions from the Gray Herbarium of Harvard University, 197, 3-42. https://www-jstor-org.uchile.idm.oclc.org/stable/pdf/41764684.pdf?refreqid=excelsior%3Afeaf1335e34af01ff7b986c4b155e14c"
112,"Hall, H. (1928). THE GENUS HAPLOPAPPUS: A PHYLOGENETIC STUDY IN THE COMPOSITAE. Carnegie Institution of Washington."
113,"Teillier, S. (1997). Rehabilitación de Haplopappus pinea (PHIL) Reiche, una especie andina, endémica de Chile. Noticiario Mensual-Museo Nacional de Historia Natural, 329, 19-21. https://publicaciones.mnhn.gob.cl/668/articles-66620_archivo_01.pdf"
114,"Reiche, K. (2013). Geografía Botánica de Chile (1.a ed.). Cámara Chilena de la Construcción: Pontificia Universidad Católica de Chile: Dirección de Bibliotecas, archivos y Museos. http://www.bibliotecanacionaldigital.gob.cl/colecciones/BND/00/SM/SM0000607.pdf"
115,"Grau, J. (1976). HAPLOPAPPUS TAEDA REICHE. Mitt. Bot. München, 12, 411-416. https://www.zobodat.at/pdf/Mitt-Bot-StaatsS-Muenchen_12_0411-0415.pdf"
116,"Llavallol, C., & Cellini, J. (2007). MAPA DE VEGETACIÓN DE LA ISLA DE LOS ESTADOS. Instituto Argentino de Investigaciones de las Zonas Áridas, 18. https://www.redalyc.org/pdf/428/42801608.pdf"
117,"Luebert, F. (2010). Systematics, ecology and evolution of Heliotropium sect. Cochranea (Heliotropiaceae) and the biogeography of the Atacama Desert [Optar grado academico de Doctorado, Department of Biology, Chemistry and Pharmacy of Freie. Universit¨at Berlin]. https://refubium.fu-berlin.de/bitstream/handle/fub188/4904/Dissertation_Federico_Luebert.pdf;jsessionid=588FA109CE4A0B35FB8A2CAAA4951E5A?sequence=1"
118,"Luebert, F. (2013). A revision of Heliotropium sect. Cochranea (Heliotropiaceae). KEW BULLETIN, 68(1), 1-54. https://repositorio.uchile.cl/bitstream/handle/2250/120224/A%20revision%20of.pdf?sequence=1&isAllowed=y"
119,"Royal Botanic Garden Edinburgh, & Fundación Chilco. (En línea). Las plantas endemicas de Chile. Royal Botanic Garden Endinburgh. https://chileanendemics.rbge.org.uk/es/"
120,"Peralta, P., Múlgura de Romero, M., Denham, S., & Botta, S. (2008). REVISIÓN DEL GÉNERO JUNELLIA (VERBENACEAE). Annals of the Missouri Botanical Garden, 95(2), 338-390. https://doi.org/10.3417/2004167"
121,"O’Leary, N., Peralta, P., & Múlgura, M. E. (2011). SINOPSIS DEL GÉNERO JUNELLIA (VERBENACEAE). Darwiniana, 49(1), 47-75. https://www.redalyc.org/pdf/669/66922015006.pdf"
122,"Mendez, E. (2011). La vegetación de los altos Andes. El flanco oriental del Cordón del Portillo (Tunuyán, Mendoza, Argentina). Bol. Soc. Argent, 46(3-4), 317-353. https://botanicaargentina.org.ar/wp-content/uploads/2017/05/12_mendez-1.pdf"
123,"O’Leary, N., & Múlgura, M. (2014). Synopsis of tribe Verbeneae Dumortier (Verbenaceae) in Peru. Phytotaxa, 163, 121-148. https://doi.org/10.11646/phytotaxa.163.3.1"
124,"Peralta, P., Múlgura de Romero, M., Denham, S., & Botta, S. (2008). REVISIÓN DEL GÉNERO JUNELLIA (VERBENACEAE). Annals of the Missouri Botanical Garden, 95(2), 338-390. https://doi.org/10.3417/2004167"
125,"Saldivia, P., Faundez, L., Marticorena, A., & Panero, J. (2014). Kieslingia chilensis (Asteraceae: Astereae), a new genus and species from northern Chile. Phytotaxa, 177(5), 280-290. https://doi.org/10.11646/phytotaxa.177.5.4"
